Stream,Component,Mass_Flow_kg_h,T_C,P_bar,Phase
S1_CO2_feed,CO2,4583,25,1.0,G
S1_CO2_feed,N2,5,25,1.0,G
S2_H2_feed,H2,570,25,30.0,G
S3_Mixed_feed,CO2,7319,120,50.0,G
S3_Mixed_feed,H2,1030,120,50.0,G
S4_Reactor_inlet,CO2,7319,250,50.0,G
S4_Reactor_inlet,H2,1030,250,50.0,G
S5_Reactor_outlet,CH3OH,2083,278,50.0,G
S5_Reactor_outlet,H2O,612,278,50.0,G
S5_Reactor_outlet,CO2,3556,278,50.0,G
S5_Reactor_outlet,H2,570,278,50.0,G
S5_Reactor_outlet,CO,134,278,50.0,G
S5_Reactor_outlet,N2,1034,278,50.0,G
S6_Cooled,CH3OH,2083,40,48.0,G+L
S6_Cooled,H2O,612,40,48.0,G+L
S6_Cooled,CO2,3556,40,48.0,G+L
S6_Cooled,H2,570,40,48.0,G+L
S6_Cooled,CO,134,40,48.0,G+L
S6_Cooled,N2,1034,40,48.0,G+L
S7_Liquid,CH3OH,2066,40,48.0,L
S7_Liquid,H2O,610,40,48.0,L
S7_Liquid,CO2,178,40,48.0,L
S7_Liquid,CO,7,40,48.0,L
S7_Liquid,N2,52,40,48.0,L
S8_Vapour,CO2,3378,40,48.0,G
S8_Vapour,H2,570,40,48.0,G
S8_Vapour,CO,127,40,48.0,G
S8_Vapour,N2,982,40,48.0,G
S9_Purge,CO2,338,40,48.0,G
S9_Purge,H2,57,40,48.0,G
S9_Purge,CO,13,40,48.0,G
S9_Purge,N2,98,40,48.0,G
S10_MeOH_product,CH3OH,2055,65,1.5,L
S11_Wastewater,H2O,603,100,1.0,L
